,filename,width,height,xmin,ymin,xmax,ymax,class
6061,VID_20210429_144011_frame_12670.jpg,1280,720,889,356,995,517,motorcycle
6187,VID_20210429_144011_frame_14940.jpg,1280,720,632,342,683,382,car
6961,VID_20210502_174603_frame_1160.jpg,1280,720,1156,282,1280,463,motorcycle
873,20210501_150607_frame_4850.jpg,1280,720,3,295,208,502,car
5488,20210505_173347_frame_1740.jpg,1280,720,401,351,495,429,motorcycle
1674,20210501_154632_frame_1720.jpg,1280,720,1058,276,1280,617,car
6274,VID_20210429_144011_frame_1760.jpg,1280,720,1198,243,1275,523,person
1437,20210501_154632_frame_1010.jpg,1280,720,629,309,668,348,car
3368,20210503_154550_frame_980.jpg,1280,720,888,368,1061,590,other vehicles
180,20210501_150607_frame_11780.jpg,1280,720,0,206,190,483,car
696,20210501_150607_frame_4400.jpg,1280,720,87,234,226,554,person
7193,VID_20210510_171657_frame_8810.jpg,1280,720,425,282,471,344,car
6574,VID_20210429_144011_frame_46400.jpg,1280,720,317,350,434,489,other vehicles
1748,20210501_154632_frame_1860.jpg,1280,720,909,300,945,346,person
1163,20210501_150607_frame_6860.jpg,1280,720,548,329,675,597,motorcycle
1893,20210501_160847_frame_1940.jpg,1280,720,994,308,1067,413,person
3778,20210505_165907_frame_17890.jpg,1280,720,961,305,1132,377,car
1884,20210501_160847_frame_1920.jpg,1280,720,814,320,855,423,other vehicles
2676,20210503_152226_frame_1980.jpg,1280,720,629,361,737,444,car
7128,VID_20210510_171657_frame_13930.jpg,1280,720,813,234,975,576,person
38,20210501_150607_frame_10550.jpg,1280,720,716,309,784,362,car
2912,20210503_153255_frame_4560.jpg,1280,720,0,361,92,528,person
1806,20210501_154632_frame_7780.jpg,1280,720,71,272,349,502,car
2357,20210501_160847_frame_5810.jpg,1280,720,906,305,973,462,person
4395,20210505_171959_frame_8870.jpg,1280,720,0,290,254,413,car
4753,20210505_173347_frame_12980.jpg,1280,720,647,322,725,381,car
1371,20210501_154025_frame_290.jpg,1280,720,577,338,970,616,motorcycle
128,20210501_150607_frame_11560.jpg,1280,720,627,304,674,348,car
4638,20210505_173347_frame_12470.jpg,1280,720,653,327,731,381,car
1533,20210501_154632_frame_1340.jpg,1280,720,1218,318,1278,453,person
4390,20210505_171959_frame_8840.jpg,1280,720,962,219,1250,486,car
1223,20210501_150607_frame_8740.jpg,1280,720,746,321,772,364,motorcycle
3243,20210503_154550_frame_5790.jpg,1280,720,355,319,381,364,motorcycle
6699,VID_20210429_155708_frame_6360.jpg,1280,720,73,349,175,473,motorcycle
3392,20210505_165907_frame_10070.jpg,1280,720,5,421,315,689,motorcycle
5271,20210505_173347_frame_15510.jpg,1280,720,343,317,529,471,car
2940,20210503_153255_frame_6530.jpg,1280,720,829,317,929,536,person
942,20210501_150607_frame_4970.jpg,1280,720,587,315,653,416,motorcycle
3918,20210505_165907_frame_19710.jpg,1280,720,826,324,874,422,motorcycle
1918,20210501_160847_frame_2010.jpg,1280,720,62,339,238,445,car
2121,20210501_160847_frame_3000.jpg,1280,720,639,347,710,396,car
4278,20210505_171959_frame_530.jpg,1280,720,651,324,709,425,motorcycle
3688,20210505_165907_frame_17100.jpg,1280,720,0,246,188,661,person
3167,20210503_154550_frame_4110.jpg,1280,720,492,354,564,427,car
6301,VID_20210429_144011_frame_18320.jpg,1280,720,783,324,836,388,car
2429,20210501_161529_frame_2740.jpg,1280,720,652,300,764,415,car
4718,20210505_173347_frame_1280.jpg,1280,720,522,325,601,467,motorcycle
5106,20210505_173347_frame_1480.jpg,1280,720,86,274,242,682,person
4270,20210505_171959_frame_4660.jpg,1280,720,995,277,1109,434,motorcycle
